cod_sed;secretaria;codigo_institucion;nombre_institucion;licencia;fecha_licencia;nit;cod_dpto;departamento;cod_mpio;municipio;localidad;barrio;direccion;telefono;correo_electronico;pagina_web;naturaleza;nombre_representante;certificado_calidad;numero_certificacion;norma;entidad_emisora;estado_certificacion;fecha_otorgamiento;fecha_vencimiento;longitud;latitud;año_corte;mes_corte;fecha_corte
3.798,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;7.531,;INTEC & SISTEM;2280;2012 ago 06 12:00:00 AM;87471569;52,;NARIÑO;52.110,;BUESACO;;;CRA 3 N 5-65;3122657247;lgermanedupol12@hotmail.com;;PRIVADA;GERMANLOAIZA LOPEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.765,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE SOLEDAD;9.477,;INSTITUTO TÈCNICO NETEN;0445;2019 ago 13 12:00:00 AM;63303581-8;8,;ATLÁNTICO;8.758,;SOLEDAD;;VILLA ANGELITA;CALLE 7C #13A -82;3005564419;FUNDAIDEANDO@GMAIL.COM;;PRIVADA;NANCYSANTODOMINGO GUARIN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.808,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL SANTANDER;1.674,;INSTITUTO ANDINO;9722;2014 jun 04 12:00:00 AM;90032700;68,;SANTANDER;68.077,;BARBOSA;;;CALLE 7 NO.5-149;3208344662;andinobarbosa@gmail.com;;PRIVADA;MARIA CRISTINARANGEL MORENO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.780,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VALLEDUPAR;4.155,;INSTITUTO ALVIS;0090;2008 ago 15 12:00:00 AM;49758600-1;20,;CESAR;20.001,;VALLEDUPAR;;DANGOND;CL 16 20-57;5712649;calvizb@ilmoc.com;;PRIVADA;LIBIA MARIAALVIS BARRANCO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.797,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE VILLAVICENCIO;3.696,;SONIS BELLEZA INTEGRAL;0260;2009 abr 13 12:00:00 AM;68289417-1;50,;META;50.001,;VILLAVICENCIO;;;CALLE 35 NO.16A-80;6662421;SONIS@HOTMAIL.COM;;PRIVADA;SONIS GRICIELRODRÍGUEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.803,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL QUINDÍO;1.814,;AP'SYSTEM;751;2099 sep 20 12:00:00 AM;25023682-3;63,;QUINDÍO;63.594,;QUIMBAYA;;CENTRO;CALLE 15 Nº 4-36;7520523;mandysistem@hotmail.com;;PRIVADA;AMANDA PATRICIA CHICA SALAZAR;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.816,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE IBAGUÉ;9.163,;ESCUELA DE BELLEZA CANDY;71-01450;2011 jun 28 12:00:00 AM;93367422;73,;TOLIMA;73.001,;IBAGUÉ;;JORDAN;MZ 26 CASA 11  8 ETAPA;3167841696;garciayadira749@gmail.com;;PRIVADA;NINFACARDONA GONZALEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.802,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE CÚCUTA;8.153,;INSTITUTO DE EDUCACIÓN PARA EL TRABAJO Y DESARROLLO HUMANO CHIPOLOS;1026;2015 may 04 12:00:00 AM;13446355-1;54,;NORTE DE SANTANDER;54.001,;CÚCUTA;;;CALLE 9 NO. 3-63 INTERIOR 102;5712537;raul-rojas@hotmail.com;;PRIVADA;RAUL ENRIQUE ROJAS BARAJAS;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.776,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;7.546,;CORPORACION UNIVERSITARIA MINUTO DE DIOS;10345;2090 ago 01 12:00:00 AM;800116217-2;18,;CAQUETÁ;18.001,;FLORENCIA;;PABLO VI;Transversal 6  con Calle 12 Avenida Circunvalar Edificio COMFACA;4351239;william.medina@uniminuto.edu;www.uniminuto.edu;PRIVADA;LEONIDASLOPEZ HERRAN;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.735,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL CUNDINAMARCA;3.920,;CORPORACION EDUCATIVA INSTITUTO TECNICO INSETEC;001804;2009 mar 03 12:00:00 AM;51948074-1;25,;CUNDINAMARCA;25.430,;MADRID;;Centro;Carrera 7 No. 8-52;091-8281596;institutotecnicoinsetecmadrid@gmail.com;;PRIVADA;GLADYS I.VELANDIA PALOMINO;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.798,;SECRETARÍA DE EDUCACIÓN DEPARTAMENTAL NARIÑO;5.034,;CEINFOS;3611;2010 oct 05 12:00:00 AM;98345360-1;52,;NARIÑO;52.885,;YACUANQUER;;URBANIZACION EL TRIGAL;URBANIZACION EL TRIGAL;3128352065;pemp2009@yahoo.es;;PRIVADA;PABLOMUÑOZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.776,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;7.635,;INSTITUTO PARA LA FORMACION Y PROYECCION DE TALENTO HUMANO INFORPH;0869;2014 dic 16 12:00:00 AM;17639941-1;18,;CAQUETÁ;18.001,;FLORENCIA;;BERLIN;Calle 4   Nº.  5C  -  20;3134157065;aplicaciones.edu@gmail.com;;PRIVADA;MANUELRAMIREZ  ESPINOSA;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
3.776,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE FLORENCIA;1.015,;ESCUELA COLOMBIANA DE CIENCIAS EN SALUD FLORENCIA ECSALUD ZOMAC S.A.S.;000052;2099 ene 07 12:00:00 AM;79201119-8;18,;CAQUETÁ;18.001,;FLORENCIA;;EL CENTRO;CARRERA 11  No  9-42;4355307;ecsaludflorencia10@hotmail.com;;PRIVADA;JOSE RICARDOVIDAL OSSA;NO;;;;;;;75,610673;1,611823;2.020,;11,;2020 nov 30 12:00:00 AM
3.759,;SECRETARÍA DE EDUCACIÓN MUNICIPAL DE MEDELLÍN;5.846,;CENTRO DE CIENCIA Y SENSIBILIZACIÓN AMBIENTAL;15196;2011 dic 07 12:00:00 AM;9004118161;5,;ANTIOQUIA;5.001,;MEDELLÍN;LA LOMA;;CARRERA 46 N° 60 55;5514921;centrodeciencia@gmail.com;;PRIVADA;SANDRA ELENARENDÓN GÓMEZ;NO;;;;;;;;;2.020,;11,;2020 nov 30 12:00:00 AM
